transaction_id,product_id,product_name,category,original_price,price_paid,quantity,timestamp,customer_id,customer_segment,inventory_level_before_sale,competitor_price_avg,holiday_season
TXN_008604,ELF_003,Sparkling Stamina Brew,Jewelry,159.8,176.29,1,2023-01-01,CUST_2611,Regular,99,168.25,0
TXN_008325,ELF_022,Enchanted Gold Amulet,Tools,32.67,35.59,1,2023-01-01,CUST_1260,Regular,24,37.2,0
TXN_017312,ELF_026,Map of Hidden Treasures,Potions,38.56,41.82,1,2023-01-01,CUST_1291,High-Value,75,41.79,0
TXN_023948,ELF_006,Ruby Restoration Tonic,Potions,19.68,22.08,1,2023-01-01,CUST_2400,High-Value,64,22.53,0
TXN_005527,ELF_033,Singing Crystal,Jewelry,59.76,60.21,2,2023-01-01,CUST_3280,Regular,99,56.65,0
TXN_018892,ELF_016,Glimmering Gem Ring,Potions,20.5,21.25,1,2023-01-01,CUST_1903,Regular,26,20.03,0
TXN_022301,ELF_031,Flying Carpet (Small),Potions,33.23,34.65,2,2023-01-01,CUST_4313,New,37,34.57,0
TXN_003266,ELF_029,Tome of Trading Secrets,Scrolls,21.85,24.46,1,2023-01-01,CUST_3268,High-Value,69,25.57,0
TXN_013783,ELF_014,Crystalline Compass,Scrolls,14.25,16.57,1,2023-01-01,CUST_0008,Regular,76,17.67,0
TXN_021175,ELF_019,Mystical Moonstone Bracelet,Scrolls,18.64,19.76,2,2023-01-01,CUST_3068,High-Value,33,20.72,0
TXN_019351,ELF_008,Enchanted Quill,Jewelry,179.93,231.83,1,2023-01-01,CUST_1935,High-Value,4,229.37,0
TXN_023257,ELF_011,Mystical Chisel,Potions,15.62,18.33,1,2023-01-01,CUST_1523,Regular,78,16.94,0
TXN_007235,ELF_034,Dancing Shoes,Scrolls,28.98,31.14,1,2023-01-01,CUST_2665,Regular,62,33.7,0
TXN_010472,ELF_029,Tome of Trading Secrets,Scrolls,21.85,27.15,1,2023-01-01,CUST_3519,New,9,24.88,0
TXN_015669,ELF_012,Starlight Saw,Tools,78.35,75.44,3,2023-01-01,CUST_3521,Loyal,89,80.08,0
TXN_001408,ELF_004,Golden Healing Draught,Scrolls,21.97,24.15,1,2023-01-01,CUST_2056,Regular,61,22.96,0
TXN_020983,ELF_013,Ethereal Axe,Jewelry,174.87,179.19,2,2023-01-01,CUST_3125,Loyal,94,167.33,0
TXN_019841,ELF_020,Ethereal Emerald Pendant,Enchanted Items,216.49,248.42,2,2023-01-01,CUST_1384,New,67,243.3,0
TXN_014792,ELF_019,Mystical Moonstone Bracelet,Scrolls,18.64,21.53,2,2023-01-01,CUST_1597,High-Value,78,20.29,0
TXN_024694,ELF_032,Wishing Well Water,Tools,34.38,35.82,1,2023-01-01,CUST_4324,High-Value,12,32.54,0
TXN_000903,ELF_003,Sparkling Stamina Brew,Jewelry,159.8,180.84,1,2023-01-01,CUST_4241,Loyal,36,195.67,0
TXN_005340,ELF_004,Golden Healing Draught,Scrolls,21.97,23.24,2,2023-01-01,CUST_4798,Loyal,39,23.19,0
TXN_002974,ELF_025,Spell of Prosperity,Enchanted Items,282.43,321.56,1,2023-01-01,CUST_3457,Loyal,14,327.08,0
TXN_009762,ELF_010,Glowing Hammer,Enchanted Items,383.23,398.79,1,2023-01-01,CUST_4002,New,45,406.86,0
TXN_020318,ELF_009,Magic Measuring Tape,Scrolls,22.02,25.21,1,2023-01-01,CUST_2210,High-Value,44,24.82,0
TXN_013257,ELF_011,Mystical Chisel,Potions,15.62,16.11,1,2023-01-01,CUST_3597,New,78,17.56,0
TXN_003640,ELF_014,Crystalline Compass,Scrolls,14.25,18.68,1,2023-01-01,CUST_3198,Regular,5,17.0,0
TXN_023771,ELF_025,Spell of Prosperity,Enchanted Items,282.43,318.35,1,2023-01-01,CUST_4432,New,11,339.98,0
TXN_009386,ELF_001,Shimmering Health Potion,Potions,26.24,27.77,2,2023-01-01,CUST_4072,New,28,28.52,0
TXN_008914,ELF_025,Spell of Prosperity,Enchanted Items,282.43,305.94,2,2023-01-01,CUST_1151,Regular,79,292.66,0
TXN_020108,ELF_007,Moonlight Memory Potion,Tools,28.19,30.31,1,2023-01-01,CUST_3285,High-Value,41,29.62,0
TXN_019026,ELF_015,Luminous Lantern,Enchanted Items,172.73,204.27,1,2023-01-01,CUST_2737,High-Value,56,196.33,0
TXN_010095,ELF_006,Ruby Restoration Tonic,Potions,19.68,22.03,1,2023-01-01,CUST_0960,New,72,20.69,0
TXN_011708,ELF_020,Ethereal Emerald Pendant,Enchanted Items,216.49,207.3,3,2023-01-01,CUST_4587,Loyal,86,201.21,0
TXN_011123,ELF_027,Recipe for Happiness,Tools,35.98,38.71,1,2023-01-01,CUST_4867,High-Value,50,38.91,0
TXN_019628,ELF_011,Mystical Chisel,Potions,15.62,17.67,1,2023-01-01,CUST_0840,New,21,19.13,0
TXN_009015,ELF_011,Mystical Chisel,Potions,15.62,20.38,1,2023-01-01,CUST_1294,Loyal,3,20.79,0
TXN_022922,ELF_004,Golden Healing Draught,Scrolls,21.97,24.71,2,2023-01-01,CUST_1037,Regular,23,26.08,0
TXN_022415,ELF_015,Luminous Lantern,Enchanted Items,172.73,193.85,1,2023-01-01,CUST_0163,New,71,192.02,0
